,SEQN,ACD011A,ACD011B,ACD011C,ACD040,ACD110
339,62661.0,1.0,,,,
340,62664.0,1.0,,,,
341,62665.0,1.0,,,,
342,62668.0,1.0,,,,
343,62669.0,1.0,,,,
344,62670.0,1.0,,,,
345,62671.0,1.0,,,,
346,62672.0,1.0,,,,
347,62673.0,,,,1.0,
348,62674.0,1.0,,,,
349,62676.0,1.0,,,,
350,62677.0,,,,3.0,
351,62678.0,,,,1.0,
352,62680.0,,,,,5.0
353,62682.0,1.0,,,,
354,62683.0,,,,,4.0
355,62684.0,1.0,,,,
356,62685.0,,,,,1.0
357,62686.0,1.0,,,,
358,62688.0,,,,,2.0
359,62689.0,1.0,8.0,,,
360,62690.0,1.0,,,,
361,62691.0,1.0,,,,
362,62692.0,1.0,,,,
363,62693.0,,,,3.0,
364,62694.0,1.0,,,,
365,62695.0,1.0,,,,
366,62696.0,1.0,,,,
367,62698.0,1.0,,,,
368,62701.0,,,,5.0,
369,62702.0,,,,4.0,
370,62704.0,1.0,,,,
371,62705.0,,,,5.0,
372,62706.0,1.0,,,,
373,62707.0,1.0,,,,
374,62708.0,,,,,2.0
375,62710.0,,,,2.0,
376,62713.0,1.0,,,,
377,62714.0,,,,2.0,
378,62716.0,,,,,4.0
379,62717.0,1.0,,,,
380,62718.0,1.0,,,,
381,62719.0,,,,1.0,
382,62720.0,1.0,,,,
383,62723.0,1.0,,,,
384,62724.0,1.0,,,,
385,62727.0,1.0,,,,
386,62728.0,1.0,,,,
387,62731.0,,,,2.0,
388,62732.0,,,,1.0,
389,62734.0,1.0,,,,
390,62735.0,1.0,,,,
391,62736.0,1.0,,,,
392,62737.0,,,,,1.0
393,62739.0,1.0,,,,
394,62740.0,1.0,,,,
395,62742.0,,,,1.0,
396,62744.0,,,,3.0,
397,62745.0,1.0,,,,
398,62746.0,,,,3.0,
399,62747.0,1.0,,,,
400,62748.0,,,,2.0,
401,62749.0,1.0,,,,
402,62750.0,,,,,1.0
403,62752.0,1.0,,,,
404,62753.0,1.0,,,,
405,62755.0,1.0,,,,
406,62757.0,1.0,,,,
407,62759.0,1.0,,,,
408,62761.0,,,,3.0,
409,62763.0,1.0,,,,
410,62764.0,,,,4.0,
411,62765.0,,,,,1.0
412,62767.0,,,,3.0,
413,62768.0,,,,1.0,
414,62769.0,1.0,,,,
415,62771.0,1.0,,,,
416,62772.0,,,,1.0,
417,62773.0,1.0,,,,
418,62774.0,1.0,,,,
419,62775.0,,,,1.0,
420,62777.0,1.0,,,,
421,62779.0,1.0,,,,
422,62784.0,,,,4.0,
423,62787.0,,,,,4.0
424,62788.0,,,,2.0,
425,62789.0,,,,,1.0
426,62791.0,1.0,,,,
427,62792.0,1.0,,,,
428,62793.0,1.0,,,,
429,62794.0,1.0,,,,
430,62795.0,1.0,,,,
431,62796.0,,,,,4.0
432,62797.0,,,,,3.0
433,62798.0,,,,1.0,
434,62800.0,1.0,,,,
435,62801.0,1.0,,,,
436,62803.0,1.0,,,,
437,62804.0,1.0,,,,
438,62805.0,1.0,,,,
439,62806.0,1.0,,,,
440,62807.0,1.0,,,,
441,62808.0,,,,1.0,
442,62809.0,1.0,,,,
443,62810.0,1.0,,,,
444,62811.0,1.0,,,,
445,62812.0,,,,1.0,
446,62813.0,1.0,,,,
447,62814.0,1.0,,,,
448,62816.0,,,,,1.0
449,62817.0,1.0,,,,
450,62818.0,1.0,,,,
451,62819.0,1.0,,,,
452,62820.0,,,,,1.0
453,62821.0,1.0,,,,
454,62822.0,1.0,,,,
455,62823.0,1.0,,,,
456,62824.0,1.0,,,,
457,62826.0,1.0,,,,
458,62828.0,1.0,,,,
459,62830.0,1.0,,,,
460,62832.0,,,,2.0,
461,62833.0,1.0,,,,
462,62835.0,,,,,5.0
463,62836.0,,,,1.0,
464,62837.0,1.0,,,,
465,62838.0,1.0,,,,
466,62840.0,1.0,,,,
467,62841.0,1.0,,,,
468,62843.0,,,,4.0,
469,62845.0,1.0,,,,
470,62846.0,1.0,,,,
471,62847.0,,,,5.0,
472,62848.0,1.0,,,,
473,62849.0,1.0,,,,
474,62851.0,1.0,,,,
475,62853.0,,,,,5.0
476,62855.0,1.0,,,,
477,62858.0,1.0,,,,
478,62859.0,1.0,,,,
479,62860.0,,,,,1.0
480,62861.0,1.0,,,,
481,62864.0,1.0,,,,
482,62865.0,,,,,4.0
483,62867.0,1.0,,,,
484,62868.0,,,9.0,,
485,62870.0,,,,3.0,
486,62871.0,1.0,,9.0,,
487,62872.0,1.0,,,,
488,62873.0,1.0,,,,
489,62874.0,,,,2.0,
490,62875.0,1.0,,,,
491,62876.0,1.0,,,,
492,62878.0,1.0,,,,
493,62879.0,1.0,,,,
494,62880.0,1.0,,,,
495,62881.0,1.0,,,,
496,62882.0,,,,,5.0
497,62883.0,1.0,,,,
498,62884.0,1.0,,,,
499,62885.0,1.0,,,,
500,62886.0,1.0,,,,
501,62887.0,1.0,,,,
502,62890.0,,,,,5.0
503,62891.0,1.0,,,,
504,62892.0,1.0,,,,
505,62893.0,,,,1.0,
506,62895.0,1.0,,,,
507,62898.0,1.0,,,,
508,62899.0,,,,1.0,
509,62900.0,1.0,,,,
510,62901.0,,,,,3.0
511,62902.0,1.0,,,,
512,62907.0,,,,3.0,
513,62908.0,,,,1.0,
514,62909.0,,,,5.0,
515,62911.0,,,,3.0,
516,62912.0,1.0,,,,
517,62913.0,1.0,,,,
518,62915.0,,,,1.0,
519,62916.0,,,,4.0,
520,62917.0,1.0,,,,
521,62918.0,1.0,,,,
522,62919.0,,,9.0,,
523,62922.0,1.0,,,,
524,62923.0,1.0,,,,
525,62924.0,1.0,,,,
526,62925.0,1.0,,,,
527,62927.0,1.0,,,,
528,62928.0,1.0,,,,
529,62929.0,1.0,,,,
530,62930.0,,,,3.0,
531,62931.0,,,,,5.0
532,62933.0,,,,,3.0
533,62934.0,1.0,,,,
534,62935.0,,,,2.0,
535,62936.0,1.0,,,,
536,62937.0,1.0,,,,
537,62938.0,1.0,,,,
538,62939.0,,,,5.0,
539,62940.0,1.0,,,,
540,62941.0,1.0,,,,
541,62942.0,1.0,,,,
542,62943.0,,,,5.0,
543,62944.0,1.0,,,,
544,62945.0,1.0,,,,
545,62947.0,,,,1.0,
546,62948.0,1.0,,,,
547,62950.0,1.0,,,,
548,62951.0,1.0,,,,
549,62952.0,,,,,1.0
550,62953.0,,,,,1.0
551,62954.0,1.0,,,,
552,62955.0,1.0,,,,
553,62958.0,1.0,,,,
554,62959.0,,,,,5.0
555,62964.0,,,,,4.0
556,62966.0,1.0,,9.0,,
557,62967.0,1.0,,,,
558,62969.0,1.0,,,,
559,62971.0,1.0,,,,
560,62974.0,1.0,,,,
561,62976.0,1.0,,,,
562,62977.0,,,,3.0,
563,62978.0,,,,5.0,
564,62979.0,1.0,,,,
565,62980.0,1.0,,,,
566,62981.0,1.0,,,,
567,62982.0,1.0,,,,
568,62985.0,,,,,5.0
569,62986.0,1.0,,,,
570,62990.0,1.0,,,,
571,62991.0,1.0,,,,
572,62993.0,1.0,,,,
573,62994.0,,,,,1.0
574,62995.0,1.0,8.0,,,
575,62997.0,1.0,,,,
576,62998.0,,,,,5.0
577,63000.0,1.0,,,,
578,63002.0,,,,2.0,
579,63003.0,1.0,,,,
580,63004.0,,,,,1.0
581,63005.0,,,,3.0,
582,63006.0,1.0,,,,
583,63007.0,1.0,,,,
584,63008.0,1.0,,,,
585,63010.0,1.0,,,,
586,63011.0,1.0,,,,
587,63012.0,1.0,,,,
588,63013.0,,,,,5.0
589,63015.0,1.0,,,,
590,63016.0,,,,4.0,
591,63017.0,,,,,1.0
592,63019.0,,,,1.0,
593,63021.0,,,,,1.0
594,63022.0,1.0,,,,
595,63023.0,1.0,,,,
596,63024.0,1.0,,,,
597,63025.0,1.0,,,,
598,63026.0,1.0,,,,
599,63027.0,,,,3.0,
600,63030.0,,,,2.0,
601,63031.0,1.0,,,,
602,63032.0,1.0,,,,
603,63033.0,1.0,,,,
604,63036.0,,,,,1.0
605,63037.0,,,,1.0,
606,63040.0,,,,,1.0
607,63041.0,,,,,5.0
608,63042.0,1.0,,,,
609,63043.0,,,,,5.0
610,63044.0,1.0,,,,
611,63045.0,,,,4.0,
612,63048.0,,,,,1.0
613,63049.0,,,,3.0,
614,63050.0,1.0,,9.0,,
615,63051.0,,,,,1.0
616,63052.0,,,,,3.0
617,63056.0,,,,,1.0
618,63057.0,1.0,,,,
619,63058.0,,,,,4.0
620,63061.0,1.0,,,,
621,63064.0,1.0,,,,
622,63069.0,,,,,1.0
623,63070.0,,,,1.0,
624,63071.0,1.0,,,,
625,63072.0,,,9.0,,
626,63073.0,1.0,,,,
627,63075.0,,,,5.0,
628,63076.0,1.0,,,,
629,63077.0,1.0,,,,
630,63079.0,,,,,5.0
631,63080.0,1.0,,,,
632,63081.0,,,9.0,,
633,63082.0,1.0,,,,
634,63083.0,1.0,,,,
635,63086.0,1.0,,,,
636,63088.0,,,,,1.0
637,63089.0,1.0,,,,
638,63090.0,1.0,,,,
639,63091.0,1.0,,,,
640,63092.0,1.0,,,,
641,63094.0,1.0,,,,
642,63097.0,1.0,,,,
643,63100.0,,,,4.0,
644,63102.0,,,,1.0,
645,63103.0,,,,,1.0
646,63105.0,,,,,5.0
647,63106.0,1.0,,,,
648,63107.0,,,,1.0,
649,63108.0,1.0,,,,
650,63109.0,1.0,,,,
651,63110.0,1.0,,,,
652,63112.0,,,,,5.0
653,63114.0,,,,,5.0
654,63116.0,1.0,,,,
655,63117.0,,,,,1.0
656,63118.0,,,,4.0,
657,63119.0,1.0,,,,
658,63123.0,1.0,,,,
659,63124.0,,,,,2.0
660,63125.0,1.0,,9.0,,
661,63126.0,1.0,,,,
662,63127.0,,,,,5.0
663,63128.0,1.0,,,,
664,63129.0,,,,4.0,
665,63130.0,,,,,1.0
666,63132.0,,,,,1.0
